nombre,url,gif_url,tipo_ejercicio,grupo_muscular,musculos_involucrados,equipamiento,dificultad_actual,dificultad_maxima,instrucciones
Abdominales en V con Mancuerna,https://fitcron.com/exercise/abdominales-en-v-con-mancuerna-abdomen/,https://fitcron.com/wp-content/uploads/2021/04/33361301-Dumbbell-V-up_Waist_720.gif,Fuerza,Abdomen,"Abdomen, Oblicuos",Mancuernas,3,3,"[""Tumbado en el suelo (o colchoneta de ejercicios) sobre la espalda con los brazos estirados hacia atrás detrás de la cabeza y con las piernas extendidas."",""Al exhalar, flexiona la cintura al mismo tiempo que elevas las piernas y los brazos para que se junten."",""Las piernas deben estar estiradas y levantadas a un ángulo aproximado de 35-45 grados del suelo, y los brazos deben estar totalmente extendidos y paralelos a las piernas."",""La parte superior del torso debe estar levantada."",""Mientras inhalas, baja los brazos y las piernas de nuevo a la posición inicial."",""Sostén una mancuerna entre las manos para mayor dificultad.""]"
Aductor Externo Aislado en Máquina,https://fitcron.com/exercise/aductor-externo-aislado-en-maquina-pierna/,https://fitcron.com/wp-content/uploads/2021/04/10341301-Lever-Side-Hip-Abduction_Hips_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Máquina,2,3,"[""De pie en la máquina con la espalda recta, ponte el rodillo en el lateral exterior de una pierna y crúzala por delante de la de apoyo."",""Abre la pierna hacia fuera lateralmente empujando el peso."",""Después regresa lentamente a la posición inicial, sin dejar caer el peso bruscamente.""]"
Aductor Externo en Máquina,https://fitcron.com/exercise/aductor-externo-en-maquina-pierna/,https://fitcron.com/wp-content/uploads/2021/04/05971301-Lever-Seated-Hip-Abduction_Hips-FIX_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Máquina,1,3,"[""Sentado en la máquina con la espalda recta, las piernas abiertas y el exterior de los muslos en los soportes."",""Realiza la apertura de las piernas todo lo que puedas."",""Después regresa lentamente a la posición inicial, sin dejar caer el peso bruscamente.""]"
Aductor Externo en Polea,https://fitcron.com/exercise/aductor-externo-en-polea-pierna/,https://fitcron.com/wp-content/uploads/2021/04/30481301-Cable-hip-abduction-version-2-male_Hips_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Polea,2,3,"[""Ponte de pie al lado de una máquina de polea."",""Sujeta la polea al tobillo de la pierna más alejada a la polea."",""Apóyate con las manos para conservar el equilibrio y desde allí comienza el movimiento."",""Sin movilizar el torso, despega la pierna que sujeta el peso del suelo y llévala desde la máquina hacia el lado opuesto, por delante de la otra pierna que está apoyada en el suelo."",""Después regresa lentamente a la posición inicial, sin dejar caer el peso bruscamente.""]"
Aductor Interno Aislado en Máquina,https://fitcron.com/exercise/aductor-interno-aislado-en-maquina-pierna/,https://fitcron.com/wp-content/uploads/2021/04/10351301-Lever-Side-Hip-Adduction_Hips_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Máquina,2,3,"[""De pie en la máquina con la espalda recta, ponte el rodillo en el lateral interior de una pierna con ella abierta hacia fuera."",""Cierra la pierna hacia dentro lateralmente empujando el peso y crúzala por delante de la de apoyo."",""Después regresa lentamente a la posición inicial, sin dejar caer el peso bruscamente.""]"
Aductor Interno en Máquina,https://fitcron.com/exercise/aductor-interno-en-maquina-pierna/,https://fitcron.com/wp-content/uploads/2021/04/05981301-Lever-Seated-Hip-Adduction_Thighs_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Máquina,1,3,"[""Sentado en la máquina con la espalda recta, las piernas abiertas y el interior de los muslos en los soportes."",""Realiza el cierre de las piernas llegando a juntar los soportes."",""Después regresa lentamente a la posición inicial, sin dejar caer el peso bruscamente.""]"
Aductor Interno en Polea Baja,https://fitcron.com/exercise/aductor-interno-en-polea-baja-pierna/,https://fitcron.com/wp-content/uploads/2021/04/01681301-Cable-Hip-Adduction_Thighs_720.gif,Fuerza,Pierna,"Glúteo, Aductor, Cuádriceps, Gemelo",Polea,2,3,"[""Ponte de pie al lado de una máquina de polea."",""Sujeta la polea al tobillo de la pierna cercana a la polea."",""Apóyate con las manos para conservar el equilibrio y desde allí comienza el movimiento."",""Sin movilizar el torso, despega la pierna que sujeta el peso del suelo y llévala desde la máquina hacia el lado opuesto, por delante de la otra pierna que está apoyada en el suelo."",""Después regresa lentamente a la posición inicial, sin dejar caer el peso bruscamente.""]"
Air Bike,https://fitcron.com/exercise/air-bike-cardio/,https://fitcron.com/wp-content/uploads/2021/03/38931301-Assault-Bike-Run_Cardio_720.gif,Cardio,Todos,,Máquina,3,3,"[""Una bicicleta de resistencia de aire es una bicicleta estacionaria con manillas donde también se aplica fuerza."",""La resistencia es aplicada por una turbina de viento; esto causa que a mayor velocidad, mayor resistencia de la máquina."",""Por esta razón se suele decir que un Airbike ofrece resistencia infinita."",""Ajusta toda la bicicleta para sentarte sobre ella con una postura cómoda manteniendo la espalda recta en todo momento.""]"
Apertura Aislada Declinada con Polea,https://fitcron.com/exercise/apertura-aislada-declinada-con-polea-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/12621301-Cable-One-Arm-Decline-Chest-Fly_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps","Banco Inclinable, Polea",2,3,"[""Tumbado sobre un banco declinado cercano a una polea baja, el brazo estirado horizontalmente, agarramos la empuñadura de forma natural (palma de la mano hacia arriba)."",""El movimiento consiste en realizar el cierre con el brazo estirado hacia el centro del pecho."",""La inspiración se hace durante el descenso, la expiración durante el ascenso."",""La otra mano la podemos colocar bajo el banco o agarrando un lateral del mismo.""]"
Apertura Aislada en Punta,https://fitcron.com/exercise/apertura-aislada-en-punta-pectoral/,https://fitcron.com/wp-content/uploads/2021/03/39231301-Landmine-Floor-One-Arm-Chest-Fly_Chest_720.gif,Fuerza,Pecho,"Pectoral, Tríceps",Máquina,2,3,"[""Tumbado hacia arriba en el suelo, el brazo estirado horizontalmente, agarramos el extremo de la barra en punta de forma natural (palma de la mano hacia arriba)."",""El movimiento consiste en realizar el cierre con el brazo hacia el centro del pecho, ligeramente flexionado (casi estirado)."",""La inspiración se hace durante el descenso, la expiración durante el ascenso."",""La otra mano la podemos colocar al otro lado del cuerpo o como nos resulte más cómodo.""]"
